Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Malawi,MWI,"School enrollment, primary (% net)",SE.PRM.NENR,97.78176,97.1885,94.51593,97.24013,97.6489,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Malawi,MWI,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,0.620899975299835,0.67848002910614,0.67781001329422,..,..,1.6382266480595,1.9326497017803,1.03308269033203,..,0.942437649509698,0.75238570356028,..,..,2.14319648902488,..,2.94873027143284,2.90474378222013,3.19914491210148,..,..,..
Malawi,MWI,"School enrollment, tertiary (% gross)",SE.TER.ENRR,0.45329999923706,0.479409992694855,0.477120012044907,..,..,1.26225889832108,1.55183037174754,0.838820281170415,..,0.827777867221161,0.809801002249246,..,..,1.6942403485732,..,2.40217380732134,2.39798041885226,2.70813684546823,..,..,..
Malawi,MWI,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,..,..,91.94948,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Malawi,MWI,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.00834000110626,1.01961004734039,1.01943004131317,1.01150000095367,1.0131299495697,1.0208899974823,1.02409994602203,1.02166998386383,1.01822996139526,1.01877999305725,1.02040994167328,1.02665996551514,1.0315899848938,1.00899004936218,1.02989995479584,..,..,..,..,..,..
Malawi,MWI,"School enrollment, primary (% gross)",SE.PRM.ENRR,131.803100585938,131.494323730469,128.682327270508,136.033767700195,133.763076782227,135.953379497131,136.570114875395,136.603950137451,140.88915082399,140.734554498983,139.547593190997,137.823026920131,139.233233518644,136.723876953125,139.274520404398,136.43618677975,127.042360318779,126.587758962955,135.974440781822,139.016258677384,..
Malawi,MWI,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,..,..,..,..,..,..,..,..,..,39.8600006103516,83.58056640625,..,..,..,..,..,..,..,..,..,..
Malawi,MWI,"Secondary education, duration (years)",SE.SEC.DURS,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,..,..
Malawi,MWI,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,25.254,26.22692,26.71083,28.74861,28.80811,29.879,30.8985,31.67723,33.84789,34.03077,34.53697,33.71403,..,33.7171,..,..,..,..,..,..,..
Malawi,MWI,"School enrollment, secondary, private (% of total secondary)",SE.SEC.PRIV.ZS,..,12.4587297439575,..,..,..,..,..,5.91922998428345,6.53907012939453,7.77921009063721,9.41524982452393,8.8360595703125,..,10.2319498062134,..,..,..,..,..,..,..
Malawi,MWI,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,32.8307189941406,34.4911499023438,34.3082084655762,36.7312698364258,36.7118797302246,36.2228736441165,37.1165264898282,37.3879241935588,40.3359334261554,41.9177934983911,41.8521104591973,40.7140502929688,40.2108693463768,39.5017263780949,39.1519414691029,38.9186970968176,35.6724792080034,35.1489517701415,36.0231009254102,..,..
Malawi,MWI,"School enrollment, secondary (% net)",SE.SEC.NENR,23.44309,24.89945,25.15857,27.30239,27.73351,29.12365,30.06088,30.4559,32.74037,33.54261,34.24597,32.95718,..,34.23885,..,..,..,..,..,..,..
Malawi,MWI,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.96577000617981,0.977789998054504,0.976180016994476,0.972479999065399,0.979130029678345,0.991699993610382,0.995999991893768,0.991900026798248,0.990920007228851,0.992940008640289,0.996720016002655,0.997420012950897,1.01104998588562,1.00111997127533,0.988529980182648,..,..,..,..,..,..
