Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Burkina Faso,BFA,"Secondary education, general pupils (% female)",SE.SEC.ENRL.GC.FE.ZS,40.03627,40.6336,40.96931,41.41602,43.84704,44.90573,45.79023,47.14562,47.93709,48.54717,49.29677,..,..,..,..,..,..,..
Burkina Faso,BFA,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,40.73328,41.27081,41.55788,41.84794,43.94984,44.98252,45.73683,47.05256,47.80332,48.36088,49.07022,..,..,..,..,..,..,..
Burkina Faso,BFA,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,1.33314001560211,1.41841995716095,1.50599002838135,1.93578994274139,2.8464187555039,2.98628916915069,3.16339096118604,3.3259216661963,3.61548634081945,3.94901631464549,4.59637543954558,4.90992775099359,5.3794971838135,6.8763905519528,7.41040636352225,8.1343872857632,8.52930506215899,..
Burkina Faso,BFA,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,11.0454902648926,11.844220161438,12.869119644165,15.2496795654297,22.4369517647316,25.1246647585712,27.3772509415436,31.3499100869596,33.8377858408122,36.4337512769058,39.4315297671845,40.517531621348,40.2090461523707,40.1334643135395,36.1300743115017,33.6455886002101,33.2389182465594,..
Burkina Faso,BFA,"School enrollment, primary, female (% net)",SE.PRM.NENR.FE,40.46028,43.7204,49.09273,55.53211,63.99954,65.31431,66.49125,68.14274,74.06397,75.4478,77.69237,..,..,..,..,..,..,..
Burkina Faso,BFA,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,..,..,3.01179003715515,..,3.67018008232117,4.02299976348877,4.29555988311768,4.17316007614136,3.04475998878479,3.66210007667542,4.34599018096924,5.51135015487671,6.39163017272949,6.54538488388062,..,..,..,..
Burkina Faso,BFA,"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,50.1586418151855,54.0271415710449,59.7971115112305,65.9228591918945,79.41733598957,81.5534958625298,83.1084795296493,83.7284954045849,86.1668542039014,88.5809714131362,90.5009882550909,89.3300926646325,87.8947657705689,87.5637630729409,83.2235253009284,73.4497497046292,78.3039625067193,..
Burkina Faso,BFA,"Repeaters, primary, total (% of total enrollment)",SE.PRM.REPT.ZS,11.92663,11.97501,11.75001,10.51572,8.18048,7.37977,6.87415,5.5887,5.65723,6.35369,5.70354,..,..,..,..,..,..,..
Burkina Faso,BFA,"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,12.07545,12.08555,11.78385,10.56745,8.13407,7.2587,6.75048,5.54235,5.67524,6.35998,5.7699,..,..,..,..,..,..,..
Burkina Faso,BFA,"Repeaters, primary, female (% of female enrollment)",SE.PRM.REPT.FE.ZS,11.73499,11.83553,11.70836,10.45402,8.23129,7.50961,7.00582,5.63801,5.63816,6.34707,5.63368,..,..,..,..,..,..,..
Burkina Faso,BFA,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,65.53328,67.58143,74.22284,74.28429,69.01551,70.64561,77.24833,78.19348,76.97813,80.78387,..,..,..,..,..,..,..,..
Burkina Faso,BFA,Progression to secondary school (%),SE.SEC.PROG.ZS,65.40999,66.92342,73.62768,73.18979,68.19726,68.74054,76.55103,77.55105,76.05944,80.10901,..,..,..,..,..,..,..,..
Burkina Faso,BFA,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,65.24186,66.03442,72.82324,71.6955,67.28668,66.74549,75.86897,76.91814,75.15855,79.47294,..,..,..,..,..,..,..,..
Burkina Faso,BFA,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,26.4799995422363,26.5300006866455,33.1300010681152,..,..,..,43.9900016784668,..,..,..,54.4500007629395,43.560001373291,..,58.7599983215332,60.5699996948242,67.0769545743939,..,..
Burkina Faso,BFA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,16.6200008392334,16.2900009155273,20.4300003051758,..,..,..,26.2199993133545,..,..,..,31.0400009155273,24.6800003051758,..,31.0300006866455,33.7299995422363,35.6962560770537,..,..
Burkina Faso,BFA,"Lower secondary completion rate, female (% of relevant age group)",SE.SEC.CMPT.LO.FE.ZS,7.61744022369385,8.61530017852783,9.14647960662842,11.8205003738403,17.2748467681531,19.2102038828481,22.3341968523981,24.9917429231995,28.949428013066,36.0266695773982,43.2715299109412,42.5727672383738,43.422545028603,41.2234486375664,34.8243563274229,31.7985500539873,32.7286532113754,..
Burkina Faso,BFA,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,9.25261974334717,10.2631702423096,11.0372104644775,13.9623804092407,19.5355326639718,20.845348807744,24.1173874124908,26.4472794741611,29.3876466169758,36.0908679136975,41.9999476978329,40.1645755699226,40.2609814970341,37.5336664557718,30.5858554102784,27.5523470148983,27.8792265608804,..
Burkina Faso,BFA,"Lower secondary completion rate, male (% of relevant age group)",SE.SEC.CMPT.LO.MA.ZS,10.8429803848267,11.8654403686523,12.8768701553345,16.0512104034424,21.7462397094931,22.4435903731579,25.8584893706198,27.8656556764074,29.8140412957829,36.153301782476,40.763142848545,37.820748900319,37.1862239372327,33.9459359220525,26.4632161037753,23.4229793921211,23.1663802898872,..
Burkina Faso,BFA,Lower secondary school starting age (years),SE.SEC.AGES,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,..
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,
Last Updated: 02/24/2026,,,,,,,,,,,,,,,,,,,,,
